State,October2021,November2021,December2021,January2022,February2022,March2022,April2022,May2022,June2022,July2022,August2022,September2022,Mean
Kentucky,4.6,4.6,4.6,4.4,4.2,4,3.9,3.8,3.7,3.7,3.8,3.8,4.091666666666667
Louisiana,4.6,4.5,4.4,4.3,4.3,4.2,4.1,4,3.8,3.7,3.5,3.4,4.066666666666666
Maine,4.4,4.2,4.1,4.1,4,3.6,3.3,3.2,3,2.8,3.1,3.3,3.591666666666667
Maryland,5.7,5.4,5.4,5.4,5,4.6,4.2,4,4,3.9,4.3,4,4.658333333333333
Massachusetts,5,4.8,4.6,4.8,4.7,4.3,4.1,3.9,3.7,3.5,3.6,3.4,4.2
Michigan,5.4,5.2,5.1,4.9,4.7,4.4,4.3,4.3,4.3,4.2,4.1,4.1,4.583333333333333
Minnesota,3.1,3.1,3,2.9,2.7,2.5,2.2,2,1.8,1.8,1.9,2,2.4166666666666665
Mississippi,4.7,4.7,4.7,4.6,4.5,4.2,4.1,3.9,3.8,3.6,3.6,3.6,4.166666666666667
Missouri,4,3.9,3.9,3.8,3.7,3.6,3.4,3.1,2.8,2.5,2.5,2.4,3.3
Montana,3,2.9,2.9,2.7,2.6,2.3,2.3,2.4,2.6,2.7,2.8,2.9,2.675
Nebraska,2.4,2.4,2.3,2.2,2.1,2,1.9,1.9,1.9,2,2.1,2.2,2.1166666666666667
Nevada,5.4,5.3,5.3,5.2,5.1,5,5,4.9,4.7,4.4,4.4,4.4,4.925
New Hampshire,3.1,3,3,2.9,2.7,2.4,2.3,2.1,2,2,2,2.2,2.475
New Jersey,5.5,5.1,5.1,5.1,4.6,4.2,4.1,3.9,3.9,3.7,4,3.3,4.375
New Mexico,6.1,6,5.9,5.9,5.6,5.3,5.3,5.1,4.9,4.5,4.4,4.2,5.266666666666667
New York,5.7,5.4,5.4,5.3,4.9,4.6,4.5,4.4,4.4,4.3,4.7,4.3,4.825
North Carolina,4.4,4.2,4.1,3.9,3.7,3.5,3.4,3.4,3.4,3.4,3.5,3.6,3.7083333333333335
North Dakota,3.2,3.1,3.1,3.1,2.9,2.9,2.8,2.6,2.5,2.3,2.3,2.2,2.75
Ohio,4.5,4.5,4.5,4.3,4.2,4.1,4,3.9,3.9,3.9,4,4,4.15
Oklahoma,2.9,2.8,2.8,2.7,2.6,2.7,2.7,2.8,2.9,2.9,3.1,3.2,2.841666666666667
Oregon,4.4,4.2,4.2,4.2,4,3.8,3.7,3.5,3.5,3.5,3.7,3.8,3.875
Pennsylvania,5.6,5.5,5.5,5.4,5.1,4.9,4.8,4.6,4.5,4.3,4.2,4.1,4.875
Puerto Rico,7.5,7.5,7.5,7.1,6.8,6.5,6.4,6.2,6.1,5.9,5.8,NA,NA
Rhode Island,5,4.7,4.5,4.2,3.9,3.4,3.2,2.9,2.7,2.7,2.8,3.1,3.591666666666667
South Carolina,3.6,3.6,3.6,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.1,3.2,3.375
South Dakota,3,2.9,2.9,2.8,2.6,2.5,2.3,2.3,2.3,2.3,2.3,2.3,2.5416666666666665
Tennessee,3.7,3.6,3.6,3.5,3.4,3.2,3.2,3.3,3.3,3.3,3.4,3.4,3.408333333333333
Texas,5,4.9,4.8,4.8,4.7,4.4,4.3,4.2,4.1,4,4.1,4,4.441666666666666
Utah,2.3,2.3,2.3,2.2,2.1,2,1.9,2,2,2,2,2.1,2.1
Vermont,3.1,3.1,3.1,3,2.9,2.6,2.5,2.3,2.2,2.1,2.1,2.1,2.591666666666667
Virginia,3.4,3.3,3.3,3.3,3.2,3,3,3,2.8,2.7,2.6,2.6,3.0166666666666666
Washington,4.6,4.5,4.5,4.4,4.3,4.1,4.1,3.9,3.8,3.7,3.7,3.7,4.108333333333333
West Virginia,4.3,4.3,4.3,4.1,3.9,3.7,3.6,3.5,3.6,3.7,3.9,4,3.908333333333333
Wisconsin,3.2,3.1,3.1,3,2.9,2.8,2.8,2.9,2.9,3,3.1,3.2,3
Wyoming,4,4,4,3.8,3.6,3.4,3.3,3.2,3.1,3,3.1,3.3,3.4833333333333334
