Year,CPI,Unemployment_Population,GDP,Period
2019,0.4,6122,20.99,Pre-Covid
2019,0.6,6166,21.03,Pre-Covid
2019,0.5,5898,21.2,Pre-Covid
2019,0.2,5935,21.27,Pre-Covid
2019,0,5906,21.4,Pre-Covid
2019,0.2,5984,21.46,Pre-Covid
2019,0,5993,21.51,Pre-Covid
2019,0.1,5766,21.55,Pre-Covid
2019,0.2,5980,21.63,Pre-Covid
2019,-0.1,5930,21.71,Pre-Covid
2019,-0.1,5861,21.74,Pre-Covid
2020,0.4,5826,21.79,After-Covid
2020,0.3,5717,21.92,After-Covid
2020,-0.2,7165,20.74,After-Covid
2020,-0.7,23038,18.51,After-Covid
2020,0,20940,19.37,After-Covid
2020,0.5,17616,20.56,After-Covid
2020,0.5,16288,20.85,After-Covid
2020,0.3,13532,21.34,After-Covid
2020,0.1,12584,21.65,After-Covid
2020,0,11115,21.81,After-Covid
2020,-0.1,10777,21.59,After-Covid
2020,0.1,10789,21.71,After-Covid
2021,0.4,10180,22.22,After-Covid
2021,0.5,9992,22.03,After-Covid
2021,0.7,9691,22.69,After-Covid
2021,0.8,9719,22.82,After-Covid
2021,0.8,9251,23.08,After-Covid
2021,0.9,9502,23.23,After-Covid
2021,0.5,8671,23.32,After-Covid
2021,0.2,8339,23.59,After-Covid
2021,0.3,7666,23.74,After-Covid
2021,0.8,7375,24.21,After-Covid
2021,0.5,6802,24.31,After-Covid
2021,0.3,6319,24.52,After-Covid
2022,0.8,6513,24.52,After-Covid
2022,0.9,6270,24.73,After-Covid
2022,1.3,5952,24.97,After-Covid
2022,0.6,5941,25,After-Covid
2022,1.1,5950,25.23,After-Covid
2022,1.4,5912,25.52,After-Covid
2022,0,5670,25.48,After-Covid
2022,0,6014,25.87,After-Covid
2022,0.2,5753,25.81,After-Covid
2022,0.4,6059,25.99,After-Covid
